Тип,Название,Цена,Ресторан,Ссылка,Адресс
"Пицца","Пицца Маргарита"," 99","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца Карбонара"," 138","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца Гавайская"," 148","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Фирменная пицца Песто"," 168","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца Цезарь"," 158","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца Четыри сыра"," 178","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца с салями"," 148","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца Тосканская"," 163","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Пицца с телятиной"," 173","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
"Пицца","Дуэт пиццы с телятиной и Цезарь"," 173","PESTO CAFE","https://eda.ua/restorany/pesto-cafe","проспект Академика Глушкова, 13Б; проспект Героев Сталинграда, 27; проспект Победы, 136; проспект Валерія Лобановського, 4д; улица Анны Ахматовой, 30; Русановская набережная, 8; проспект Правды, 58а; площадь Независимости, 1; Днепровская набережная, 33; проспект Степана Бандеры, 34В; улица Борщаговская, 154а"
